id;invoice_amount;status;created_by;created_date;updated_by;update_date
1;65218;CANCELED;Concrete FTP Loop;2021-09-20T18:42:31;2021-09-20T17:29:21;2021-09-21T02:42:29
2;22604;PAID;connect invoice Soft;2021-09-20T21:42:36;2021-09-20T20:04:07;2021-09-21T13:36:26
3;88574;PAID;Marketing online Soft;2021-09-20T18:21:56;2021-09-21T04:31:12;2021-09-21T02:28:44
4;17323;CANCELED;Incredible Bhutanese;2021-09-20T22:56:30;2021-09-20T22:24:38;2021-09-21T10:19:01
5;87472;REFUNDED;Engineer Shirt Court;2021-09-20T16:45:00;2021-09-20T20:42:54;2021-09-21T12:50:23
6;62834;PAID;program transmitting parse;2021-09-21T12:15:28;2021-09-21T08:21:47;2021-09-20T23:38:36
7;38509;REFUNDED;Dynamic iterate;2021-09-21T15:34:33;2021-09-21T12:46:40;2021-09-20T19:36:42
8;6085;REFUNDED;black Maine;2021-09-21T10:29:59;2021-09-21T08:22:40;2021-09-20T18:55:42
9;11254;CANCELED;Lead Well;2021-09-20T22:42:16;2021-09-20T16:22:59;2021-09-20T18:46:06
10;85804;PAID;Awesome Salad compressing;2021-09-21T06:32:05;2021-09-21T00:08:13;2021-09-21T11:26:23
