id;content;created_by;created_date;updated_by;update_date
1;Singapore Mexico;Tasty action-items;2021-09-02T18:19:04;2021-09-02T20:11:23;2021-09-02T13:22:21
2;Buckinghamshire;solutions;2021-09-02T12:23:13;2021-09-02T19:10:46;2021-09-02T06:54:54
3;next-generation Pataca;payment;2021-09-02T15:57:12;2021-09-02T10:09:35;2021-09-02T12:35:25
4;mobile Dinar Fully-configurable;Suriname system compress;2021-09-02T20:26:07;2021-09-02T14:31:01;2021-09-02T12:43:31
5;Illinois enterprise;collaborative Costa Shoes;2021-09-02T04:29:23;2021-09-02T16:41:45;2021-09-02T07:09:37
6;withdrawal Sleek Netherlands;Digitized;2021-09-02T08:37:04;2021-09-02T07:18:58;2021-09-02T03:42:55
7;Soft Cotton;Technician;2021-09-02T11:33:32;2021-09-02T00:41:55;2021-09-01T22:40:59
8;connecting;clicks-and-mortar Handmade;2021-09-02T19:10:06;2021-09-01T21:56:46;2021-09-02T15:53:13
9;Keys program;Qatari Fish redundant;2021-09-02T02:06:24;2021-09-02T00:31:01;2021-09-02T14:17:07
10;generate Rhode connecting;Gateway deposit;2021-09-02T06:19:03;2021-09-02T20:12:49;2021-09-01T23:44:38
